term_id,term
636-prefLabel,Farewell letters
637-altLabel,Fascist movements and organizations
637-prefLabel,Fascist movements and organisations
638-prefLabel,Fascist propaganda
639-prefLabel,Fascist regimes
641-prefLabel,Fascist parties
642-prefLabel,Fear
643-prefLabel,Felonious criminals
644-prefLabel,Fictitious marriages
645-prefLabel,Funds
647-altLabel,Chief Finance President
647-prefLabel,Oberfinanzpräsident
648-prefLabel,Government ministries and offices
649-prefLabel,Flogging
650-prefLabel,Torture
651-prefLabel,Food supply
652-prefLabel,Hunger
653-prefLabel,Nutrition
654-prefLabel,Food rationing
658-prefLabel,Jewish forced labourers
659-altLabel,Labor battalions
659-prefLabel,Labour battalions
660-prefLabel,Genocide
661-prefLabel,Perpetrators
662-prefLabel,Survival
664-prefLabel,Negotiations
665-altLabel,Laborers
665-prefLabel,Workers
666-prefLabel,Forgeries
667-prefLabel,Rescue
668-prefLabel,Free countries
669-prefLabel,Free world
670-prefLabel,Neutral countries
671-prefLabel,Free time activities
672-prefLabel,Freemasonry
673-prefLabel,Fuel supply
674-prefLabel,Transfer of funds
675-prefLabel,Gas
676-altLabel,Killing techniques
676-prefLabel,Murder techniques
677-prefLabel,Gas vans
678-prefLabel,Zyklon b
679-prefLabel,Gauleiter
680-prefLabel,Nazi apparatus
681-prefLabel,Kreisleiter
683-prefLabel,Gendarmerie
684-prefLabel,Genealogy
685-prefLabel,Generalgouvernement
686-prefLabel,Generalgouverneur
687-prefLabel,German occupation
688-altLabel,Nazi Germany
688-prefLabel,Third reich
689-prefLabel,German state
690-prefLabel,Housing
691-altLabel,Work permits
691-prefLabel,Work certificates
692-altLabel,"Aktionen, Razzias"
692-prefLabel,"Round ups (razzias, aktionen)"
693-altLabel,Theater in ghettos
693-prefLabel,Theatre in ghettos
694-altLabel,Ressorts
694-prefLabel,Workshops
695-prefLabel,Ghetto liquidation
696-prefLabel,Ghettoisation
697-prefLabel,Judenrat members
698-prefLabel,Judenrat
699-prefLabel,Gleichschaltung
700-prefLabel,Kreishauptmann
701-prefLabel,Stadthauptmann
702-prefLabel,State apparatus
703-altLabel,Government organizations
703-prefLabel,Government organisations
704-prefLabel,Municipalities and local administrations
705-prefLabel,National institutions
706-altLabel,Regierungspraesident
706-prefLabel,Regierungspräsident
708-prefLabel,Governors
709-prefLabel,Gravestones
711-prefLabel,Health
712-prefLabel,Health institutions
713-altLabel,Clinics and hospitals
713-prefLabel,Hospitals and clinics
714-prefLabel,Health organisations
716-prefLabel,Sanitation
718-prefLabel,Help to jews
719-prefLabel,Mutual or self help
720-prefLabel,Refugees
721-prefLabel,Hiding
722-prefLabel,Sheltering
723-prefLabel,Self help
724-prefLabel,Hiding places
725-prefLabel,Historians
726-prefLabel,Historiography
727-prefLabel,Scientists
728-prefLabel,Historical commissions
729-prefLabel,Historiography of the holocaust
730-prefLabel,Holocaust research
732-altLabel,KdS
732-prefLabel,Kommandeur der Sicherheitspolizei und des SD
733-altLabel,SS und Polizeifuehrer
733-altLabel,SSPF
733-prefLabel,SS und polizeiführer
734-prefLabel,Jewish holidays
735-prefLabel,Holocaust denial
736-prefLabel,Holocaust literature
738-prefLabel,Holy writings
739-prefLabel,Religious texts
741-prefLabel,Homosexuality
742-altLabel,Gays
742-prefLabel,Homosexuals
744-prefLabel,Jewish hospitals
745-prefLabel,Kidnapping
748-altLabel,Occupation - by Hungary
748-prefLabel,Hungarian occupation
750-prefLabel,Starvation
752-prefLabel,Identification papers
753-prefLabel,Jewish identity
754-prefLabel,National identity
755-prefLabel,Liberalism
756-prefLabel,Nationalism
757-prefLabel,Philosemitism
758-prefLabel,Socialism
759-prefLabel,Rescue attempts
761-prefLabel,Imprisonment
762-altLabel,Releases from prisons
762-prefLabel,Release from prisons
763-prefLabel,Political discrimination
764-prefLabel,Prisons
765-prefLabel,Incitement
766-prefLabel,Industrialists
767-prefLabel,Infantry
768-prefLabel,Inheritance
771-prefLabel,Insurance policies
772-prefLabel,Restitution
773-altLabel,Secret services
773-prefLabel,Intelligence services
774-prefLabel,Military intelligence
